id,"nombre","nombrecorrecto",idip,"nombreviejo",idp,year,"foto","link","bloque","region","distrito",idprov
816,"NIEVA, Alejandro Mario","NIEVA, Alejandro Mario",403,NULL,1.09282136875354,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","UNION CIVICA RADICAL","NOROESTE","JUJUY",38
817,"OBEID, Jorge Alberto","OBEID, Jorge Alberto",404,NULL,-0.130969528797527,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","CENTRO","SANTA FE",82
818,"OBIGLIO, Julian Martin","OBIGLIO, Julián Martín",405,NULL,1.78263161984604,2008,"jobiglio_medium.jpg","http://s6.postimage.org/df9ueb5tp/jobiglio_medium.jpg","PRO","CABA","CIUDAD de BUENOS AIRES",2
819,"OLIVA, Cristian Rodolfo","OLIVA, Cristian Rodolfo",407,NULL,-0.269311865080819,2008,"coliva_medium.jpg","http://s6.postimage.org/xwyxkbqd9/coliva_medium.jpg","FRENTE CIVICO POR SANTIAGO","NOROESTE","SANTIAGO DEL ESTERO",86
820,"OSORIO, Marta Lucia","OSORIO, Marta Lucía",414,NULL,-1.33594018757346,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","SUR","LA PAMPA",42
821,"PAIS, Juan Mario","PAIS, Juan Mario",417,NULL,-1.50143311871462,2008,"jpais_medium.jpg","http://s6.postimage.org/5nt4fr1od/jpais_medium.jpg","FRENTE PARA LA VICTORIA - PJ","SUR","CHUBUT",26
822,"PAREDES URQUIZA, Alberto Nicolas","PAREDES URQUIZA, Alberto Nicolás",421,NULL,-1.30971691455131,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","LA RIOJA",46
823,"PAROLI, Raul Omar","PAROLI, Raúl Omar",422,NULL,0.207882677315348,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","ACUERDO CIVICO Y SOCIAL","NOROESTE","CATAMARCA",10
824,"PASINI, Ariel Osvaldo","PASINI, Ariel Osvaldo",423,NULL,-1.27181815989764,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","BUENOS AIRES","BUENOS AIRES",6
825,"PASTORIZA, Eduardo Antonio","PASTORIZA, Eduardo Antonio",424,NULL,0.188227422215532,2008,"_silueta_medium.jpg","http://s6.postimage.org/z54fmzosd/silueta_medium.jpg","FRENTE PARA LA VICTORIA - PJ","NOROESTE","CATAMARCA",10
